Frame,Front_Knee_Angle,Lead_Arm_Angle,Head_Deviation_X
1,178.0,152,0.0
2,178.0,148,1.5199999809265137
3,178.0,147,1.25
4,177.0,148,1.440000057220459
5,178.0,146,5.949999809265137
6,179.0,149,2.740000009536743
7,,159,4.840000152587891
8,,157,0.800000011920929
9,177.0,153,9.819999694824219
10,177.0,152,3.5999999046325684
11,177.0,149,2.190000057220459
12,177.0,148,2.859999895095825
13,177.0,142,7.949999809265137
14,176.0,141,10.380000114440918
15,178.0,146,14.539999961853027
16,175.0,148,28.219999313354492
17,175.0,146,2.630000114440918
18,173.0,144,4.079999923706055
19,171.0,147,14.029999732971191
20,171.0,150,19.549999237060547
21,168.0,152,5.46999979019165
22,170.0,150,6.940000057220459
23,172.0,150,5.929999828338623
24,172.0,152,9.829999923706055
25,176.0,158,5.320000171661377
26,174.0,157,5.329999923706055
27,174.0,159,5.449999809265137
28,173.0,158,6.150000095367432
29,168.0,157,6.599999904632568
30,170.0,157,1.809999942779541
31,171.0,155,3.430000066757202
32,170.0,151,0.38999998569488525
33,171.0,148,14.619999885559082
34,172.0,151,14.619999885559082
35,170.0,145,8.5
36,171.0,146,12.130000114440918
37,173.0,148,15.539999961853027
38,173.0,146,6.699999809265137
39,173.0,146,0.30000001192092896
40,173.0,154,20.139999389648438
41,173.0,155,28.6200008392334
42,172.0,150,33.0099983215332
43,175.0,148,29.06999969482422
44,172.0,148,27.959999084472656
45,171.0,154,26.56999969482422
46,171.0,153,22.329999923706055
47,175.0,148,15.5600004196167
48,173.0,150,15.079999923706055
49,174.0,149,29.06999969482422
50,173.0,152,34.9900016784668
51,174.0,154,26.010000228881836
52,173.0,156,24.450000762939453
53,173.0,155,24.360000610351562
54,173.0,154,28.15999984741211
55,174.0,155,29.719999313354492
56,175.0,156,31.15999984741211
57,175.0,157,26.40999984741211
58,174.0,154,27.559999465942383
59,173.0,153,31.809999465942383
60,175.0,153,40.560001373291016
61,172.0,151,45.15999984741211
62,174.0,151,44.560001373291016
63,176.0,149,39.36000061035156
64,174.0,150,43.310001373291016
65,176.0,150,33.790000915527344
66,175.0,148,37.310001373291016
67,174.0,153,29.170000076293945
68,175.0,155,34.90999984741211
69,173.0,154,20.309999465942383
70,172.0,155,23.899999618530273
71,172.0,158,26.399999618530273
72,172.0,157,22.950000762939453
73,175.0,152,35.40999984741211
74,174.0,152,38.06999969482422
75,167.0,159,30.43000030517578
76,160.0,157,25.829999923706055
77,163.0,157,36.720001220703125
78,165.0,158,38.810001373291016
79,165.0,158,19.739999771118164
80,156.0,162,23.18000030517578
81,160.0,166,28.399999618530273
82,161.0,170,29.65999984741211
83,160.0,168,27.989999771118164
84,163.0,165,40.27000045776367
85,166.0,158,35.540000915527344
86,162.0,160,27.93000030517578
87,168.0,150,37.630001068115234
88,167.0,137,38.130001068115234
89,174.0,152,46.97999954223633
90,175.0,148,47.81999969482422
91,178.0,151,38.119998931884766
92,174.0,147,33.599998474121094
93,175.0,149,28.59000015258789
94,176.0,148,23.040000915527344
95,175.0,135,31.059999465942383
96,174.0,141,22.030000686645508
97,172.0,148,35.11000061035156
98,170.0,152,29.690000534057617
99,173.0,148,31.170000076293945
100,172.0,150,36.380001068115234
101,173.0,150,40.130001068115234
102,173.0,150,42.66999816894531
103,173.0,147,29.309999465942383
104,172.0,143,41.220001220703125
105,171.0,148,45.4900016784668
106,174.0,149,46.45000076293945
107,173.0,142,48.5099983215332
108,165.0,149,47.36000061035156
109,163.0,150,40.88999938964844
110,162.0,146,43.27000045776367
111,163.0,150,58.470001220703125
112,171.0,144,74.62000274658203
113,166.0,148,76.83999633789062
114,167.0,146,81.18000030517578
115,168.0,143,95.06999969482422
116,162.0,154,97.4000015258789
117,161.0,154,118.72000122070312
118,150.0,144,128.16000366210938
119,164.0,161,137.58999633789062
120,147.0,167,112.62999725341797
121,142.0,144,143.50999450683594
122,150.0,158,151.89999389648438
123,153.0,82,169.1199951171875
124,161.0,87,189.0399932861328
125,159.0,165,229.52000427246094
126,162.0,162,258.0299987792969
127,159.0,173,281.760009765625
128,151.0,157,316.739990234375
129,144.0,151,333.44000244140625
130,135.0,85,352.8699951171875
131,165.0,108,374.3599853515625
132,137.0,163,407.6000061035156
133,161.0,160,415.19000244140625
134,141.0,165,450.5
135,124.0,173,459.20001220703125
136,140.0,160,480.010009765625
137,131.0,166,484.0799865722656
138,140.0,162,487.1000061035156
139,127.0,177,485.7900085449219
140,129.0,130,498.20001220703125
141,125.0,175,515.2000122070312
142,134.0,151,520.6099853515625
143,118.0,177,518.4500122070312
144,135.0,147,527.27001953125
145,152.0,177,522.27001953125
146,123.0,179,524.6599731445312
147,150.0,177,518.8800048828125
148,159.0,171,519.1500244140625
149,158.0,177,523.9099731445312
150,156.0,157,525.8300170898438
151,158.0,159,527.7999877929688
152,158.0,177,532.1199951171875
153,125.0,177,533.719970703125
154,152.0,150,536.1799926757812
155,155.0,175,532.6099853515625
156,152.0,170,534.219970703125
157,147.0,158,533.989990234375
158,140.0,175,532.2100219726562
159,125.0,170,533.239990234375
160,140.0,173,534.6199951171875
161,118.0,165,533.6199951171875
162,119.0,179,529.7899780273438
163,122.0,173,524.5800170898438
164,116.0,172,520.75
165,131.0,113,530.2999877929688
166,110.0,112,523.9199829101562
167,150.0,108,525.739990234375
168,122.0,106,524.989990234375
169,123.0,107,529.0399780273438
170,115.0,140,530.97998046875
171,116.0,115,508.5
172,110.0,113,507.3699951171875
173,113.0,120,505.0299987792969
174,146.0,138,494.42999267578125
175,118.0,128,473.6400146484375
176,123.0,124,489.0299987792969
177,145.0,118,
178,144.0,123,451.6300048828125
179,144.0,114,450.760009765625
180,146.0,128,440.55999755859375
181,143.0,128,420.489990234375
182,137.0,122,405.5
183,117.0,136,393.239990234375
184,126.0,137,382.6700134277344
185,132.0,135,353.0
186,145.0,161,344.7699890136719
187,136.0,150,318.9599914550781
